SIMPLE                                 ,                 CamilaS-coder,                       Glaubel,                     KauaDev20,                   Lazzure-ufc,                    Lucas-Olii,                   Luismbelo79,                      Luiszszz,              Matheus-Mendes72,                        Nayyra,                   Nycolas6002,            PedroHenriqueVidal,                    SuRaquel05,                VicenteSilva05,                ViniDuarte1111,                       ceci097,                   devjoaoluis,                 felipeufc2025,                  joseluis1100,                    pepe123uyt,                       ryanlbb,                ryanlbpimentel,                  spacercoding,                     tiago-ufc,                       v1n1-03,                    wenfurnas1,                       yuri865,                         zBcxz
+:1:abs                                ,100% 55how 088m 024/012ex 096%,000% 00how 039m 008/004ex 000%,100% 55how 025m 016/008ex 096%,100% 65how 097m 004/002ex 100%,090% 34how 028m 020/010ex 070%,100% 35how 048m 018/009ex 082%,000% 65how 007m 005/002ex 000%,100% 65how 141m 032/016ex 100%,100% 44how 021m 018/009ex 082%,100% 65how 009m 014/007ex 100%,100% 65how 008m 004/002ex 100%,100% 34how 022m 016/008ex 082%,100% 64how 024m 006/003ex 096%,100% 65how 012m 002/001ex 100%,100% 55how 067m 016/008ex 096%,100% 45how 024m 010/005ex 082%,100% 30how 052m 020/010ex 000%,100% 55how 003m 004/002ex 096%,100% 54how 022m 012/007ex 096%,100% 65how 063m 006/003ex 100%,100% 65how 019m 012/006ex 100%,100% 45how 012m 010/005ex 082%,100% 65how 031m 012/006ex 100%,100% 55how 019m 002/001ex 096%,100% 65how 054m 010/005ex 100%,100% 24how 077m 034/017ex 082%,100% 65how 018m 022/011ex 100%
+:1:max                                ,100% 55how 034m 018/009ex 096%,000% 00how 008m 008/004ex 000%,100% 65how 082m 006/003ex 100%,100% 65how 085m 012/006ex 100%,100% 24how 008m 024/012ex 082%,100% 44how 070m 022/011ex 082%,100% 65how 006m 016/008ex 100%,100% 65how 089m 022/011ex 100%,100% 65how 009m 008/004ex 100%,100% 65how 083m 014/007ex 100%,100% 65how 007m 004/002ex 100%,100% 55how 024m 004/002ex 096%,100% 65how 018m 012/006ex 100%,100% 65how 010m 014/007ex 100%,100% 55how 115m 022/011ex 096%,100% 55how 005m 006/003ex 096%,100% 41how 066m 016/008ex 002%,100% 55how 008m 006/003ex 096%,100% 65how 006m 002/001ex 100%,100% 55how 035m 004/002ex 096%,100% 65how 007m 006/003ex 100%,100% 65how 012m 018/009ex 100%,100% 65how 020m 004/002ex 100%,100% 65how 003m 002/001ex 100%,100% 65how 001m 004/002ex 100%,100% 14how 132m 056/028ex 082%,100% 65how 019m 018/009ex 100%
+:1:ou                                 ,100% 55how 061m 028/014ex 096%,000% 00how 000m 002/001ex 000%,100% 65how 005m 006/003ex 100%,100% 65how 056m 004/002ex 100%,100% 55how 017m 034/017ex 096%,100% 44how 136m 040/020ex 082%,100% 65how 003m 005/002ex 100%,100% 65how 032m 012/006ex 100%,100% 65how 008m 004/002ex 100%,100% 65how 030m 014/007ex 100%,100% 65how 006m 004/002ex 100%,100% 55how 001m 006/003ex 096%,100% 65how 008m 002/001ex 100%,100% 65how 017m 008/004ex 100%,100% 55how 044m 023/009ex 096%,100% 65how 004m 004/002ex 100%,100% 31how 034m 021/010ex 002%,100% 55how 005m 006/003ex 096%,100% 55how 006m 006/003ex 096%,100% 55how 025m 006/003ex 096%,100% 65how 009m 008/004ex 100%,100% 65how 004m 006/003ex 100%,100% 65how 005m 006/003ex 100%,100% 65how 003m 002/001ex 100%,100% 65how 012m 004/002ex 100%,100% 64how 008m 008/003ex 096%,100% 65how 024m 061/022ex 100%
+:1:positivo                           ,100% 65how 004m 006/003ex 100%,000% 00how 002m 002/001ex 000%,100% 65how 001m 002/001ex 100%,100% 65how 005m 004/002ex 100%,100% 65how 002m 002/001ex 100%,100% 55how 060m 018/009ex 096%,100% 65how 002m 008/004ex 100%,100% 65how 019m 014/007ex 100%,100% 65how 004m 002/001ex 100%,100% 65how 006m 006/003ex 100%,100% 65how 005m 004/002ex 100%,100% 44how 010m 004/002ex 082%,100% 65how 003m 002/001ex 100%,100% 65how 007m 006/003ex 100%,100% 65how 031m 010/005ex 100%,100% 65how 002m 002/001ex 100%,100% 31how 024m 018/009ex 002%,100% 55how 004m 004/002ex 096%,100% 65how 005m 004/002ex 100%,100% 55how 033m 024/012ex 096%,100% 65how 021m 004/002ex 100%,100% 65how 002m 002/001ex 100%,100% 65how 004m 002/001ex 100%,100% 65how 009m 002/001ex 100%,100% 65how 027m 004/002ex 100%,100% 25how 019m 010/005ex 082%,100% 65how 006m 004/002ex 100%
+:1:multiplo                           ,100% 65how 004m 004/002ex 100%,000% 00how 002m 002/001ex 000%,100% 65how 006m 002/001ex 100%,100% 65how 009m 004/002ex 100%,100% 65how 010m 002/001ex 100%,100% 35how 036m 008/004ex 082%,100% 65how 002m 004/002ex 100%,100% 55how 017m 010/005ex 096%,100% 65how 005m 002/001ex 100%,100% 65how 006m 006/003ex 100%,100% 65how 012m 004/002ex 100%,100% 55how 012m 008/004ex 096%,100% 65how 004m 002/001ex 100%,100% 55how 018m 024/012ex 096%,100% 65how 010m 002/001ex 100%,100% 65how 005m 002/001ex 100%,100% 31how 004m 012/006ex 002%,100% 55how 002m 004/002ex 096%,100% 65how 011m 004/002ex 100%,100% 65how 006m 004/002ex 100%,100% 65how 003m 004/002ex 100%,100% 65how 002m 002/001ex 100%,100% 65how 002m 002/001ex 100%,100% 65how 003m 002/001ex 100%,100% 65how 001m 004/002ex 100%,100% 64how 004m 002/001ex 096%,100% 65how 004m 002/001ex 100%
+:2:calc                               ,100% 55how 106m 028/014ex 096%,000% 00how 025m 006/003ex 000%,100% 65how 007m 004/002ex 100%,100% 65how 040m 012/006ex 100%,100% 55how 036m 066/033ex 096%,100% 33how 477m 192/096ex 045%,100% 65how 003m 009/004ex 100%,100% 65how 026m 012/006ex 100%,100% 65how 011m 006/003ex 100%,100% 65how 076m 008/004ex 100%,100% 65how 021m 004/002ex 100%,100% 24how 073m 010/005ex 082%,100% 55how 155m 058/029ex 096%,100% 55how 139m 068/034ex 096%,100% 33how 156m 020/010ex 045%,100% 65how 003m 002/001ex 100%,100% 30how 014m 008/004ex 000%,100% 55how 012m 006/003ex 096%,100% 64how 110m 006/003ex 096%,100% 55how 016m 002/001ex 096%,100% 65how 019m 021/010ex 100%,100% 45how 026m 020/010ex 082%,100% 65how 007m 004/002ex 100%,100% 54how 038m 013/007ex 096%,100% 65how 040m 004/002ex 100%,100% 14how 289m 086/043ex 082%,100% 65how 047m 014/007ex 100%
+:2:guarda                             ,100% 55how 015m 012/006ex 096%,000% 00how 008m 008/004ex 000%,100% 65how 038m 002/001ex 100%,100% 65how 064m 012/006ex 100%,100% 35how 019m 006/003ex 082%,100% 34how 031m 010/005ex 082%,100% 65how 008m 010/005ex 100%,100% 55how 070m 034/017ex 096%,100% 45how 019m 018/009ex 082%,100% 65how 019m 006/003ex 100%,100% 65how 047m 006/003ex 100%,100% 44how 004m 008/004ex 082%,100% 65how 020m 008/004ex 100%,100% 65how 016m 024/012ex 100%,100% 55how 080m 020/010ex 096%,100% 55how 011m 006/003ex 096%,100% 30how 016m 010/005ex 000%,100% 55how 038m 004/002ex 096%,100% 54how 112m 074/034ex 096%,100% 55how 178m 024/012ex 096%,100% 65how 008m 010/005ex 100%,100% 65how 037m 036/018ex 100%,100% 65how 021m 004/002ex 100%,100% 55how 016m 008/004ex 096%,100% 65how 036m 004/002ex 100%,100% 24how 017m 008/004ex 082%,100% 65how 036m 012/006ex 100%
+:2:quantos                            ,100% 65how 046m 032/016ex 100%,000% 00how 012m 012/006ex 000%,100% 65how 006m 002/001ex 100%,100% 65how 014m 004/002ex 100%,100% 54how 097m 110/052ex 096%,100% 34how 077m 010/005ex 082%,100% 65how 002m 002/001ex 100%,100% 65how 047m 012/006ex 100%,100% 65how 011m 004/002ex 100%,100% 65how 003m 006/003ex 100%,100% 65how 016m 004/002ex 100%,100% 55how 018m 008/004ex 096%,100% 65how 011m 008/004ex 100%,100% 55how 081m 036/018ex 096%,100% 55how 065m 044/018ex 096%,100% 55how 026m 010/005ex 096%,100% 41how 035m 011/004ex 002%,100% 55how 006m 006/003ex 096%,100% 55how 046m 028/014ex 096%,100% 55how 078m 028/014ex 096%,100% 65how 036m 024/012ex 100%,100% 45how 128m 056/028ex 082%,100% 65how 027m 008/004ex 100%,100% 55how 013m 010/005ex 096%,100% 65how 027m 010/005ex 100%,100% 24how 013m 004/002ex 082%,100% 65how 010m 002/001ex 100%
+:3:impar                              ,100% 55how 045m 016/008ex 096%,000% 00how 000m 000/000ex 000%,100% 65how 044m 006/003ex 100%,100% 65how 024m 012/006ex 100%,100% 33how 212m 068/034ex 045%,100% 43how 123m 054/027ex 045%,100% 65how 004m 003/001ex 100%,100% 65how 037m 010/005ex 100%,100% 64how 076m 046/023ex 096%,100% 55how 028m 014/007ex 096%,100% 65how 034m 010/005ex 100%,100% 45how 088m 022/011ex 082%,100% 55how 118m 041/017ex 096%,100% 24how 075m 040/020ex 082%,100% 45how 026m 012/006ex 082%,100% 65how 013m 004/002ex 100%,100% 31how 018m 002/001ex 002%,100% 55how 013m 004/002ex 096%,100% 65how 027m 004/002ex 100%,100% 55how 097m 008/004ex 096%,100% 65how 030m 018/009ex 100%,100% 65how 102m 026/013ex 100%,100% 65how 154m 024/012ex 100%,100% 54how 053m 011/007ex 096%,100% 65how 076m 008/004ex 100%,100% 24how 162m 028/014ex 082%,100% 65how 043m 038/019ex 100%
+:3:round                              ,100% 54how 162m 036/018ex 096%,000% 00how 013m 002/001ex 000%,100% 65how 018m 006/003ex 100%,100% 65how 049m 014/007ex 100%,100% 23how 038m 038/019ex 045%,100% 44how 137m 034/017ex 082%,100% 65how 014m 011/005ex 100%,100% 65how 027m 006/003ex 100%,100% 65how 037m 016/008ex 100%,100% 65how 009m 004/002ex 100%,100% 65how 099m 042/021ex 100%,100% 45how 037m 006/003ex 082%,100% 65how 012m 002/001ex 100%,100% 23how 066m 012/006ex 045%,100% 65how 078m 026/014ex 100%,100% 65how 008m 006/003ex 100%,100% 30how 001m 004/002ex 000%,100% 55how 009m 004/002ex 096%,100% 54how 151m 063/031ex 096%,100% 54how 074m 002/001ex 096%,100% 65how 048m 034/017ex 100%,100% 65how 025m 018/009ex 100%,100% 65how 015m 002/001ex 100%,100% 54how 050m 007/005ex 096%,100% 65how 040m 004/002ex 100%,100% 14how 111m 018/009ex 082%,100% 65how 016m 002/001ex 100%
+:3:mumia                              ,100% 22how 069m 071/035ex 012%,000% 00how 015m 010/005ex 000%,100% 65how 057m 006/003ex 100%,100% 65how 007m 004/002ex 100%,100% 45how 012m 006/003ex 082%,100% 45how 324m 207/102ex 082%,100% 65how 005m 002/001ex 100%,100% 65how 139m 026/013ex 100%,100% 65how 016m 020/010ex 100%,100% 55how 009m 006/003ex 096%,100% 65how 028m 010/005ex 100%,100% 45how 040m 008/004ex 082%,100% 65how 058m 020/010ex 100%,100% 65how 041m 068/034ex 100%,100% 43how 027m 014/007ex 045%,100% 65how 010m 004/002ex 100%,100% 31how 014m 008/004ex 002%,100% 55how 008m 006/003ex 096%,100% 65how 034m 010/005ex 100%,100% 65how 007m 003/000ex 100%,100% 65how 052m 008/004ex 100%,100% 65how 016m 014/007ex 100%,100% 65how 032m 017/004ex 100%,100% 65how 014m 006/005ex 100%,100% 65how 003m 006/003ex 100%,100% 24how 026m 014/007ex 082%,100% 65how 012m 002/001ex 100%
*:3:meio                               ,100% 65how 022m 006/006ex 100%,000% 00how 015m 002/001ex 000%,100% 65how 012m 006/003ex 100%,100% 65how 010m 006/003ex 100%,000% 00how 064m 034/017ex 000%,100% 44how 117m 026/013ex 082%,100% 65how 010m 010/005ex 100%,100% 65how 009m 006/003ex 100%,100% 65how 051m 008/004ex 100%,100% 65how 014m 004/002ex 100%,100% 65how 024m 006/003ex 100%,100% 44how 338m 066/033ex 082%,100% 65how 007m 002/001ex 100%,100% 65how 038m 020/010ex 100%,100% 55how 024m 029/012ex 096%,100% 55how 028m 006/003ex 096%,000% 00how 003m 000/000ex 000%,100% 55how 013m 008/004ex 096%,100% 55how 019m 024/012ex 096%,100% 65how 010m 006/003ex 100%,100% 65how 023m 010/005ex 100%,100% 65how 023m 018/009ex 100%,100% 65how 012m 004/002ex 100%,100% 55how 000m 002/001ex 096%,100% 65how 020m 004/002ex 100%,100% 24how 072m 040/020ex 082%,100% 65how 023m 012/006ex 100%
*:3:jokenpo                            ,100% 54how 045m 014/013ex 096%,000% 00how 015m 006/003ex 000%,100% 65how 009m 004/002ex 100%,100% 65how 013m 004/002ex 100%,100% 55how 015m 016/008ex 096%,100% 44how 087m 050/025ex 082%,100% 65how 036m 040/020ex 100%,100% 65how 020m 010/005ex 100%,100% 45how 055m 032/016ex 082%,100% 65how 012m 004/002ex 100%,100% 65how 011m 008/004ex 100%,100% 45how 140m 034/017ex 082%,100% 65how 009m 004/002ex 100%,100% 65how 041m 030/015ex 100%,100% 54how 040m 006/003ex 096%,100% 65how 007m 006/003ex 100%,100% 42how 009m 000/000ex 012%,100% 55how 005m 004/002ex 096%,100% 55how 073m 063/030ex 096%,100% 65how 017m 002/001ex 100%,100% 65how 009m 008/004ex 100%,100% 65how 015m 016/008ex 100%,100% 65how 009m 004/002ex 100%,100% 65how 000m 003/001ex 100%,100% 65how 010m 010/005ex 100%,100% 24how 061m 024/012ex 082%,100% 65how 100m 100/026ex 100%
=:1:missão-seleção-ii==================,                           117,                           000,                           115,                           120,                           073,                           094,                           120,                           118,                           102,                           117,                           040,                           080,                           109,                           117,                           108,                           089,                           000,                           116,                           117,                           098,                           120,                           116,                           110,                           117,                           118,                           103,                           120
+:3:final                              ,100% 55how 054m 032/016ex 096%,000% 00how 033m 099/033ex 000%,100% 65how 019m 008/004ex 100%,100% 65how 020m 016/008ex 100%,100% 25how 051m 056/028ex 082%,100% 55how 127m 048/024ex 096%,100% 65how 012m 008/004ex 100%,100% 55how 046m 022/011ex 096%,100% 24how 093m 022/011ex 082%,100% 65how 011m 004/002ex 100%,100% 65how 049m 012/006ex 100%,100% 45how 023m 002/001ex 082%,100% 65how 012m 002/001ex 100%,100% 55how 079m 093/046ex 096%,100% 55how 026m 016/008ex 096%,100% 65how 017m 004/002ex 100%,000% 00how 022m 018/009ex 000%,100% 55how 015m 004/002ex 096%,100% 55how 046m 020/010ex 096%,100% 24how 249m 056/028ex 082%,100% 65how 012m 016/008ex 100%,100% 65how 060m 072/036ex 100%,100% 65how 019m 004/002ex 100%,100% 55how 002m 004/002ex 096%,100% 65how 025m 004/002ex 100%,100% 35how 002m 002/001ex 082%,100% 65how 039m 090/038ex 100%
+:3:semana                             ,100% 55how 112m 060/030ex 096%,000% 00how 021m 008/004ex 000%,100% 65how 061m 016/008ex 100%,100% 65how 013m 002/001ex 100%,100% 44how 077m 052/026ex 082%,100% 54how 133m 038/019ex 096%,100% 65how 036m 037/018ex 100%,100% 65how 061m 010/005ex 100%,100% 24how 057m 048/024ex 082%,100% 55how 018m 008/004ex 096%,100% 65how 021m 012/006ex 100%,100% 55how 083m 018/009ex 096%,100% 65how 011m 002/001ex 100%,100% 65how 031m 034/017ex 100%,100% 55how 074m 010/005ex 096%,100% 55how 045m 030/015ex 096%,000% 00how 020m 002/001ex 000%,100% 55how 022m 006/003ex 096%,100% 65how 031m 006/003ex 100%,100% 65how 192m 034/017ex 100%,100% 65how 005m 002/001ex 100%,100% 65how 032m 018/009ex 100%,100% 65how 197m 012/006ex 100%,100% 54how 031m 009/006ex 096%,100% 65how 019m 004/002ex 100%,100% 14how 001m 002/001ex 082%,100% 65how 095m 040/019ex 100%
+:3:varetas                            ,100% 55how 060m 022/011ex 096%,000% 00how 028m 010/005ex 000%,100% 65how 022m 004/002ex 100%,100% 65how 023m 008/004ex 100%,100% 55how 033m 008/004ex 096%,100% 55how 020m 004/002ex 096%,100% 65how 019m 013/006ex 100%,100% 65how 012m 004/002ex 100%,100% 65how 019m 012/006ex 100%,100% 55how 018m 010/005ex 096%,000% 00how 000m 000/000ex 000%,100% 44how 140m 056/028ex 082%,100% 65how 013m 008/004ex 100%,100% 65how 046m 024/012ex 100%,100% 65how 032m 014/008ex 100%,100% 65how 010m 006/003ex 100%,000% 00how 000m 000/000ex 000%,100% 55how 085m 030/015ex 096%,100% 55how 032m 026/013ex 096%,100% 65how 072m 012/006ex 100%,100% 65how 007m 010/005ex 100%,100% 65how 008m 006/003ex 100%,100% 65how 143m 026/013ex 100%,100% 65how 002m 002/001ex 100%,100% 65how 052m 008/004ex 100%,100% 54how 001m 002/001ex 096%,100% 65how 027m 012/006ex 100%
+:3:bhaskara                           ,100% 54how 049m 036/018ex 096%,000% 00how 022m 002/001ex 000%,100% 65how 057m 006/003ex 100%,100% 65how 069m 042/021ex 100%,100% 45how 049m 076/038ex 082%,100% 55how 110m 036/018ex 096%,100% 65how 026m 030/015ex 100%,100% 55how 053m 034/016ex 096%,100% 25how 027m 014/007ex 082%,100% 25how 089m 032/016ex 082%,000% 00how 000m 000/000ex 000%,100% 45how 057m 028/014ex 082%,100% 65how 033m 004/002ex 100%,100% 65how 038m 034/017ex 100%,100% 54how 107m 047/020ex 096%,100% 65how 019m 006/003ex 100%,                           ---,100% 55how 011m 006/003ex 096%,100% 55how 074m 045/021ex 096%,100% 65how 135m 044/022ex 100%,100% 65how 206m 076/038ex 100%,100% 65how 029m 014/007ex 100%,100% 65how 036m 008/004ex 100%,100% 54how 064m 024/015ex 096%,100% 65how 048m 022/011ex 100%,100% 24how 063m 006/003ex 082%,100% 65how 086m 129/063ex 100%
+:3:cortada                            ,100% 55how 045m 004/002ex 096%,000% 00how 012m 004/002ex 000%,100% 64how 043m 008/004ex 096%,100% 65how 017m 004/002ex 100%,100% 24how 031m 006/003ex 082%,100% 55how 224m 043/021ex 096%,100% 65how 028m 007/003ex 100%,100% 65how 028m 004/002ex 100%,100% 23how 017m 004/002ex 045%,100% 65how 026m 002/001ex 100%,000% 00how 000m 000/000ex 000%,100% 44how 032m 010/005ex 082%,100% 65how 029m 006/003ex 100%,100% 65how 173m 104/052ex 100%,100% 65how 012m 002/002ex 100%,100% 65how 010m 004/002ex 100%,                           ---,100% 55how 013m 006/003ex 096%,100% 55how 151m 126/063ex 096%,100% 65how 113m 034/017ex 100%,100% 65how 005m 010/005ex 100%,100% 45how 021m 020/010ex 082%,100% 65how 059m 006/003ex 100%,100% 54how 137m 013/008ex 096%,100% 65how 003m 004/002ex 100%,100% 24how 001m 002/001ex 082%,100% 65how 105m 048/024ex 100%
