SIMPLE                                 ,CamilaS-coder,Glaubel,KauaDev20,Lazzure-ufc,Lucas-Olii,Luismbelo79,Luiszszz,Matheus-Mendes72,Nayyra,Nycolas6002,PedroHenriqueVidal,SuRaquel05,VicenteSilva05,ViniDuarte1111,ceci097,devjoaoluis,felipeufc2025,joseluis1100,pepe123uyt,ryanlbb,ryanlbpimentel,spacercoding,tiago-ufc,v1n1-03,wenfurnas1,yuri865,zBcxz
+:4:unhas                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           100,         ---,      ---,    ---,       ---,    ---,  ---
+:3:mmc                                ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             100,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           100,         ---,      ---,    ---,       ---,    ---,  ---
+:3:linha                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           100,         ---,      ---,    ---,       ---,    ---,  ---
+:4:vivo                               ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:decompor                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           100,         ---,      ---,    ---,       ---,    ---,  ---
+:3:dominos                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             100,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           100,         ---,      ---,    ---,       ---,    ---,  ---
+:3:avesso                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:facil                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             100,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:2:paredes                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    000,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:policial                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    000,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:vacina                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
*:3:mediana                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
*:3:indices                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             000,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
=:1:problemas-vetores-ii===============,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
+:4:trilhas                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:4:avesso2                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:4:multi_mmc                          ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:4:agua                               ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:4:viciadas                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:4:botas                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:4:cofre                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:4:nervoso                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:4:eh_perm                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
*:4:senhas                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
*:6:palindromo                         ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
=:1:problemas-strings-i================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
+:2:ascologia                          ,          ---,    ---,      000,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       000,    ---,           000,         ---,      ---,    ---,       ---,    000,  ---
+:2:alcaparras                         ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    000,  ---
+:2:valdiskley                         ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:avestruz                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:crushometro                        ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:perfeicao                          ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:gagueira                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:guerra                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
+:3:jokenpozao                         ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
*:3:numerao                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
*:3:numeros                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
=:1:problemas-strings-ii===============,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
+:4:muquirana                          ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:rocicleia                          ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:jequiti                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:tokens                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:silabas                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:sorvete                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:vigenere                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:poker                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:atbash                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
*:4:cripto                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
*:6:permutacao                         ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
=:1:problemas-matrizes-i===============,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         016,       017,    000,           000,         017,      000,    000,       000,    000,  000
+:3:bingo                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       100,    ---,           ---,         100,      ---,    ---,       ---,    ---,  ---
+:3:imperador                          ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       000,    ---,           ---,         000,      ---,    ---,       ---,    ---,  ---
+:3:coluna                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         000,      ---,    ---,       ---,    ---,  ---
+:3:quadrado                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         000,      ---,    ---,       ---,    ---,  ---
+:3:boletim                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         000,      ---,    ---,       ---,    ---,  ---
+:3:soldados                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         000,      ---,    ---,       ---,    ---,  ---
*:4:torre                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         000,      ---,    ---,       ---,    ---,  ---
=:1:problemas-matrizes-ii==============,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
+:3:simetrica                          ,          ---,    ---,      ---,        000,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:3:matrizes                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:3:subdiagonais                       ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:vida                               ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:minado                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:minhocas                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
*:4:codigo                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
*:4:tetris                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
=:1:problemas-recursão=================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
+:0:hanoi                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  ---
=:1:jogos-em-modo-texto================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         026,       000,    000,           000,         000,      000,    000,       000,    000,  000
+:3:pr_jokenpo                         ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           000,    ---,        ---,          ---,         096,       ---,    ---,           000,         ---,      ---,    ---,       ---,    ---,  000
+:4:pr_chute_a                         ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  000
+:4:pr_chute_b                         ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:6:pr_game21                          ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               000,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           000,         ---,      ---,    ---,       000,    ---,  ---
+:8:pr_forca                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:8:pr_bingo                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:8:pr_orc                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               000,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
*:15:pr_playfair                       ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  000
=:1:aplicativos-interativos-no-terminal,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
+:8:termgame_1                         ,          000,    ---,      ---,        ---,       000,        ---,     000,             000,   ---,        000,               ---,       000,           ---,           000,    ---,        ---,          ---,         000,       000,    000,           ---,         000,      000,    ---,       ---,    000,  ---
