SIMPLE                           ,                     3301naoki,                     Aaron-GMM,                     Arthur32p,                 Blackberry216,                      Brieloki,                Daniel-jacodev,                   DevJLucasTM,               DevJulioEmanuel,                 EstherAzevedo,                GerasDeveloper,                    Henriwi-MS,                   JessLim2003,                     KauaLemos,                    KpSantiago,                     Luishma34,                   Pri-Holanda,               RafaelSantosS12,                   Ricardolg11,           SabrinaDamascenoDev,                        Sinh-0,               Temporary95Name,                Vitoria-Rabelo,                Wallisonnobrex,                        alvwsk,                  atilacalisto,                      caduteix,                ceciliaabintes,                     eduspicod,                       evyhdev,                  gabreidiasvl,             jardesonmagalhaes,                     joAo-dav1,                     mateus124,               narciso-roberto,                     rgcastrof,                    ruan-raujo,                      vistomia
+:6:princesa                     ,100% 55how 054m 020/010ex 096%,100% 55how 304m 062/031ex 096%,100% 53how 344m 164/082ex 075%,100% 55how 241m 060/030ex 096%,100% 54how 050m 022/011ex 096%,100% 55how 219m 088/044ex 096%,100% 65how 237m 029/014ex 100%,100% 23how 577m 247/112ex 045%,100% 43how 049m 012/006ex 045%,100% 55how 016m 014/007ex 096%,100% 33how 127m 024/012ex 045%,100% 54how 205m 046/022ex 096%,100% 44how 269m 086/041ex 082%,100% 55how 202m 056/028ex 096%,100% 65how 019m 007/003ex 100%,100% 54how 186m 102/051ex 096%,100% 23how 142m 020/010ex 045%,100% 44how 111m 077/038ex 082%,100% 55how 461m 171/086ex 096%,100% 44how 087m 013/006ex 082%,000% 00how 086m 086/043ex 000%,100% 44how 147m 080/040ex 082%,                           ---,100% 45how 129m 020/010ex 082%,000% 54how 030m 010/005ex 000%,100% 44how 054m 037/034ex 082%,100% 44how 025m 004/002ex 082%,100% 44how 105m 041/020ex 082%,100% 44how 114m 030/015ex 082%,000% 23how 056m 025/012ex 000%,100% 45how 069m 022/008ex 082%,100% 35how 082m 055/026ex 082%,100% 55how 115m 038/019ex 096%,100% 54how 338m 278/132ex 096%,100% 31how 748m 556/252ex 002%,100% 34how 006m 002/001ex 082%,100% 65how 139m 168/084ex 100%
+:4:apagando                     ,100% 55how 037m 010/005ex 096%,100% 45how 287m 092/046ex 082%,100% 54how 046m 028/014ex 096%,100% 55how 476m 129/063ex 096%,100% 54how 015m 007/003ex 096%,100% 55how 177m 062/031ex 096%,090% 43how 059m 012/003ex 032%,100% 45how 063m 040/020ex 082%,100% 55how 223m 068/033ex 096%,100% 45how 008m 008/004ex 082%,100% 65how 142m 034/017ex 100%,100% 64how 033m 018/009ex 096%,100% 23how 079m 026/013ex 045%,100% 55how 060m 038/019ex 096%,100% 65how 024m 006/003ex 100%,100% 65how 166m 022/011ex 100%,100% 43how 007m 014/007ex 045%,100% 44how 183m 094/047ex 082%,100% 55how 079m 058/029ex 096%,100% 41how 190m 051/025ex 002%,000% 00how 238m 078/039ex 000%,100% 45how 033m 031/015ex 082%,                           ---,100% 55how 049m 014/007ex 096%,000% 33how 016m 004/002ex 000%,100% 44how 063m 026/013ex 082%,100% 32how 003m 002/001ex 012%,100% 54how 041m 022/011ex 096%,100% 54how 188m 026/013ex 096%,000% 44how 067m 017/008ex 000%,100% 54how 009m 029/012ex 096%,100% 55how 024m 008/004ex 096%,100% 65how 047m 010/005ex 100%,100% 54how 062m 030/015ex 096%,100% 32how 306m 147/073ex 012%,100% 45how 051m 002/001ex 082%,100% 55how 155m 078/039ex 096%
+:9:manipulacao                  ,100% 55how 133m 038/019ex 096%,100% 55how 343m 132/066ex 096%,100% 54how 120m 089/044ex 096%,100% 45how 216m 028/014ex 082%,100% 43how 046m 024/012ex 045%,100% 55how 101m 074/037ex 096%,080% 33how 020m 012/006ex 022%,100% 45how 231m 078/039ex 082%,100% 44how 243m 034/017ex 082%,100% 44how 012m 006/003ex 082%,100% 45how 123m 020/010ex 082%,100% 54how 083m 028/014ex 096%,000% 00how 016m 000/000ex 000%,100% 45how 231m 046/023ex 082%,100% 65how 050m 005/002ex 100%,100% 65how 359m 142/074ex 100%,100% 22how 156m 026/011ex 012%,100% 44how 253m 085/042ex 082%,100% 65how 317m 119/055ex 100%,100% 44how 236m 069/034ex 082%,                           ---,100% 55how 261m 143/071ex 096%,                           ---,100% 45how 114m 048/024ex 082%,100% 44how 018m 010/005ex 082%,100% 22how 045m 018/009ex 012%,080% 32how 022m 020/010ex 006%,100% 44how 092m 033/016ex 082%,100% 45how 140m 024/012ex 082%,100% 23how 058m 007/003ex 045%,090% 44how 026m 028/014ex 070%,100% 45how 080m 016/008ex 082%,100% 45how 100m 016/008ex 082%,100% 54how 088m 066/033ex 096%,100% 23how 284m 045/022ex 045%,090% 44how 120m 016/008ex 070%,100% 43how 086m 074/037ex 045%
+:15:especiais                   ,100% 55how 308m 112/056ex 096%,100% 55how 153m 068/034ex 096%,100% 53how 283m 286/141ex 075%,100% 44how 417m 078/039ex 082%,100% 45how 071m 059/029ex 082%,030% 23how 120m 050/025ex 002%,070% 32how 008m 004/002ex 005%,100% 45how 587m 168/084ex 082%,100% 44how 338m 070/035ex 082%,100% 44how 003m 002/001ex 082%,000% 00how 007m 002/001ex 000%,100% 54how 149m 021/009ex 096%,000% 00how 000m 000/000ex 000%,080% 64how 286m 028/014ex 082%,100% 65how 009m 002/001ex 100%,100% 65how 410m 124/073ex 100%,100% 44how 010m 006/003ex 082%,100% 44how 181m 082/041ex 082%,100% 55how 295m 178/089ex 096%,100% 43how 132m 044/022ex 045%,                           ---,070% 55how 529m 249/124ex 066%,                           ---,100% 45how 271m 068/034ex 082%,000% 54how 019m 002/001ex 000%,100% 44how 158m 038/018ex 082%,100% 42how 011m 004/002ex 012%,100% 43how 261m 112/056ex 045%,000% 00how 035m 000/000ex 000%,100% 33how 080m 043/021ex 045%,090% 44how 037m 032/016ex 070%,100% 44how 135m 026/013ex 082%,100% 45how 242m 052/026ex 082%,100% 55how 557m 378/189ex 096%,100% 21how 308m 123/061ex 002%,100% 45how 054m 030/015ex 082%,100% 55how 208m 130/065ex 096%
*:3:buscas                       ,                           ---,100% 55how 084m 050/025ex 096%,100% 54how 050m 064/032ex 096%,000% 00how 000m 000/000ex 000%,                           ---,100% 55how 043m 024/012ex 096%,                           ---,                           ---,                           ---,100% 34how 079m 008/004ex 082%,000% 00how 000m 000/000ex 000%,100% 64how 200m 038/019ex 096%,                           ---,                           ---,100% 65how 017m 003/001ex 100%,100% 65how 042m 017/012ex 100%,                           ---,000% 00how 000m 000/000ex 000%,100% 65how 025m 016/014ex 100%,100% 44how 070m 039/019ex 082%,000% 00how 088m 086/043ex 000%,100% 65how 053m 026/013ex 100%,                           ---,                           ---,                           ---,100% 14how 042m 022/011ex 082%,000% 00how 003m 000/000ex 000%,100% 54how 133m 065/032ex 096%,100% 55how 040m 015/006ex 096%,000% 00how 000m 000/000ex 000%,100% 45how 045m 024/012ex 082%,100% 44how 070m 018/009ex 082%,000% 00how 003m 002/001ex 000%,                           ---,100% 43how 179m 048/024ex 045%,                           ---,100% 65how 071m 128/064ex 100%
*:3:rotacoes                     ,                           ---,100% 55how 051m 026/013ex 096%,100% 54how 028m 033/016ex 096%,                           ---,                           ---,000% 00how 002m 012/006ex 000%,                           ---,                           ---,                           ---,100% 55how 017m 020/010ex 096%,000% 00how 000m 000/000ex 000%,100% 64how 025m 011/004ex 096%,                           ---,                           ---,100% 65how 040m 006/003ex 100%,100% 65how 028m 007/007ex 100%,                           ---,100% 43how 030m 018/009ex 045%,000% 00how 000m 001/001ex 000%,100% 43how 018m 014/007ex 045%,000% 00how 104m 089/043ex 000%,100% 55how 052m 033/015ex 096%,                           ---,                           ---,                           ---,100% 53how 012m 008/004ex 075%,000% 00how 000m 000/000ex 000%,100% 54how 030m 009/007ex 096%,100% 45how 063m 006/003ex 082%,                           ---,100% 55how 005m 018/009ex 096%,100% 45how 025m 006/003ex 082%,100% 55how 044m 016/008ex 096%,                           ---,100% 45how 104m 055/027ex 082%,                           ---,                           ---
*:4:alternando                   ,                           ---,000% 00how 001m 000/000ex 000%,000% 00how 001m 000/000ex 000%,                           ---,                           ---,000% 00how 000m 004/002ex 000%,                           ---,                           ---,                           ---,070% 43how 014m 012/006ex 014%,000% 00how 000m 000/000ex 000%,100% 54how 348m 081/040ex 096%,                           ---,                           ---,000% 00how 005m 001/001ex 000%,000% 00how 012m 004/001ex 000%,                           ---,                           ---,000% 00how 000m 002/001ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,069% 43how 156m 081/040ex 014%,                           ---,                           ---,                           ---,090% 23how 036m 026/013ex 032%,000% 00how 000m 000/000ex 000%,000% 00how 001m 000/000ex 000%,                           ---,                           ---,100% 34how 115m 104/052ex 082%,030% 35how 074m 044/022ex 003%,                           ---,000% 00how 005m 002/001ex 000%,                           ---,                           ---,000% 00how 093m 054/027ex 000%
=:1:recursão=====================,                           068,                           070,                           121,                           071,                           067,                           085,                           052,                           044,                           061,                           069,                           045,                           081,                           030,                           046,                           082,                           074,                           049,                           058,                           091,                           048,                           000,                           092,                           000,                           055,                           045,                           063,                           018,                           100,                           074,                           020,                           061,                           074,                           084,                           065,                           027,                           047,                           068
*:2:crec_view                    ,100% 00how 000m 000/000ex 000%,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 55how 000m 000/000ex 096%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,000% 00how 000m 000/000ex 000%,080% 64how 000m 000/000ex 082%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,000% 00how 000m 000/000ex 000%,100% 65how 000m 000/000ex 100%,100% 64how 000m 000/000ex 096%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 00how 000m 000/000ex 000%,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 001m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,100% 54how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%,                           ---,100% 55how 000m 000/000ex 096%,                           ---
*:1:rec_read                     ,100% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 55how 000m 000/000ex 096%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,100% 55how 000m 000/000ex 096%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 00how 000m 000/000ex 000%,                           ---,100% 60how 000m 000/000ex 000%,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 55how 010m 000/000ex 096%,100% 54how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%,                           ---,100% 55how 000m 000/000ex 096%,                           ---
+:2:triangulo                    ,100% 65how 045m 016/008ex 100%,100% 65how 101m 140/070ex 100%,100% 54how 012m 026/013ex 096%,100% 35how 042m 024/012ex 082%,100% 65how 018m 009/004ex 100%,100% 55how 055m 048/024ex 096%,                           ---,100% 33how 029m 016/008ex 045%,100% 44how 030m 008/004ex 082%,100% 45how 003m 002/001ex 082%,100% 65how 124m 056/028ex 100%,100% 65how 033m 005/001ex 100%,100% 55how 060m 032/016ex 096%,100% 55how 026m 016/008ex 096%,100% 65how 012m 002/001ex 100%,100% 65how 068m 064/034ex 100%,100% 33how 024m 022/011ex 045%,100% 33how 041m 024/012ex 045%,100% 65how 193m 039/019ex 100%,100% 24how 044m 018/009ex 082%,000% 00how 046m 008/007ex 000%,100% 55how 033m 053/026ex 096%,                           ---,100% 55how 014m 006/003ex 096%,000% 65how 011m 010/005ex 000%,100% 43how 103m 118/042ex 045%,100% 43how 160m 107/053ex 045%,100% 44how 030m 011/005ex 082%,100% 55how 042m 026/013ex 096%,100% 33how 018m 014/007ex 045%,090% 34how 051m 071/035ex 070%,100% 45how 006m 006/003ex 082%,100% 55how 024m 022/011ex 096%,100% 55how 028m 044/022ex 096%,100% 34how 050m 028/013ex 082%,100% 55how 058m 020/010ex 096%,100% 55how 079m 046/023ex 096%
+:4:treinando                    ,100% 55how 068m 034/017ex 096%,100% 65how 276m 080/040ex 100%,100% 54how 198m 197/098ex 096%,090% 44how 196m 046/023ex 070%,100% 65how 026m 021/010ex 100%,083% 45how 108m 060/030ex 058%,                           ---,100% 45how 194m 044/022ex 082%,100% 34how 099m 058/026ex 082%,100% 44how 002m 002/001ex 082%,100% 44how 282m 084/042ex 082%,100% 54how 096m 018/009ex 096%,100% 65how 332m 082/041ex 100%,100% 55how 283m 020/010ex 096%,100% 65how 010m 006/003ex 100%,100% 65how 205m 170/102ex 100%,100% 43how 098m 061/029ex 045%,100% 33how 128m 086/043ex 045%,100% 54how 191m 088/043ex 096%,100% 21how 064m 031/015ex 002%,                           ---,100% 55how 167m 113/056ex 096%,                           ---,100% 55how 083m 014/007ex 096%,100% 55how 021m 004/002ex 096%,100% 33how 024m 018/009ex 045%,100% 33how 003m 002/001ex 045%,100% 33how 059m 044/022ex 045%,100% 54how 059m 026/013ex 096%,100% 33how 082m 053/026ex 045%,080% 33how 183m 150/072ex 022%,100% 45how 014m 012/006ex 082%,100% 45how 155m 076/038ex 082%,100% 45how 678m 525/222ex 082%,100% 21how 166m 066/033ex 002%,100% 45how 134m 024/012ex 082%,100% 55how 053m 048/024ex 096%
+:1:resto                        ,100% 65how 018m 006/003ex 100%,100% 65how 034m 018/009ex 100%,100% 54how 029m 072/035ex 096%,100% 65how 014m 010/005ex 100%,100% 65how 004m 001/001ex 100%,100% 55how 029m 012/006ex 096%,100% 65how 019m 006/002ex 100%,100% 55how 030m 038/019ex 096%,100% 65how 036m 022/011ex 100%,100% 55how 005m 004/002ex 096%,100% 65how 045m 022/011ex 100%,100% 65how 022m 006/003ex 100%,000% 00how 000m 000/000ex 000%,100% 55how 004m 010/009ex 096%,100% 65how 008m 002/001ex 100%,100% 65how 032m 043/023ex 100%,100% 45how 003m 007/003ex 082%,100% 55how 042m 064/032ex 096%,100% 55how 076m 025/012ex 096%,100% 55how 009m 009/004ex 096%,                           ---,100% 65how 070m 013/006ex 100%,                           ---,100% 65how 005m 006/003ex 100%,100% 54how 007m 002/001ex 096%,100% 55how 018m 010/005ex 096%,100% 33how 002m 002/001ex 045%,100% 44how 026m 020/010ex 082%,100% 65how 010m 006/003ex 100%,100% 44how 096m 035/017ex 082%,100% 55how 006m 006/003ex 096%,100% 55how 003m 004/002ex 096%,100% 55how 021m 008/004ex 096%,100% 55how 068m 103/047ex 096%,100% 24how 056m 048/024ex 082%,100% 45how 041m 036/018ex 082%,100% 65how 011m 016/008ex 100%
